phi,psi,end_state,energy,caspt2_energy,caspt2_root,ms_caspt2_energy,ms_caspt2_root,ms_caspt2_highest_occupation,ms_caspt2_occupation_weight,ms_caspt2_occupation_coeff,config,coeff,weight,dipole moment,start_state,caspt2_energy_difference_ev,ms_caspt2_energy_difference_ev,dx_debyes,dy_debyes,dz_debyes,totald_debyes,transition,energy_difference_eV
0,270,5,-453.622364,-455.1255886067,5,-455.12544915,4.0,22u222d0,0.748887,0.865382,22u222d0,0.85711,0.73463,6.4543,1,6.648540232348368,6.7474995633741335,-3.5209609714936363,1.3310005286486928,-0.4203234720019519,3.787532227237608,pi_nb_to_pi_*_R,8.972823093000072
0,285,1,-453.950898,-455.3697583431,1,-455.37231632,1.0,22222200,0.907257,0.952501,22222200,0.94767,0.89809,5.3595,1,0.0,0.0,,,,,GROUND,0.0
0,285,2,-453.747233,-455.1666629083,2,-455.16711459,2.0,2222u2d0,0.849235,0.92154,2222u2d0,0.93803,0.8799,3.6503,1,5.526511114516473,5.583826355721969,0.284975392419991,-0.0165466100148428,0.0793712132995811,0.2962845832825017,n_to_pi_*_R,5.542009781000024
0,285,3,-453.737216,-455.1613930712,3,-455.16159747,3.0,22u2220d,0.821207,-0.906205,22u2220d,-0.90356,0.81642,3.6528,1,5.669910759779467,5.7339549148894,0.0208497018218047,0.0118568285144971,0.1805233977878085,0.1821098338823147,n_to_pi_*_L,5.814586374800156
0,285,4,-453.629971,-455.1171114249,4,-455.1157258,5.0,222u220d,0.774914,0.880292,222u220d,0.83849,0.70306,6.345,1,6.874876349907866,6.982187275927313,1.6977930721605468,0.1394511805640275,3.4252174321906392,3.825449325972917,pi_nb_to_pi_*_L,8.732872967799546
0,285,5,-453.624847,-455.1284447913,5,-455.12828472,4.0,22222ud0,0.766826,0.875686,22222ud0,0.85837,0.73679,6.6829,1,6.566479583449874,6.640441480239216,3.579713055589443,-1.2130533477695091,-0.6491318139766582,3.834998830873084,pi_nb_to_pi_*_R,8.872304181400184
0,300,1,-453.944574,-455.3691298368,1,-455.37111586,1.0,22222200,0.927943,-0.963298,22222200,-0.96003,0.92166,4.9597,1,0.0,0.0,,,,,GROUND,0.0
0,300,2,-453.744795,-455.1699330922,2,-455.1707005,2.0,2222u2d0,0.847389,-0.920537,2222u2d0,-0.94552,0.89401,3.8409,1,5.420422296009649,5.453582527103059,-0.3250976424301574,0.0503972403521613,-0.0739028582611524,0.3371794635232402,n_to_pi_*_R,5.436266280599406
0,300,3,-453.721887,-455.1606750406,3,-455.16090498,3.0,22u2220d,0.731455,0.855252,22u2220d,0.8827,0.77916,3.405,1,5.672346841317885,5.720132340031372,-0.0931817862734333,-0.1032440773555365,-0.2203817476414135,0.2605960463177585,n_to_pi_*_L,6.059625031800208
0,300,4,-453.63722,-455.130320712,4,-455.12530806,5.0,222u220d,0.607303,0.779296,222u220d,0.74991,0.56236,4.4178,1,6.498330618583093,6.6887743689190735,-2.966023570615266,-0.3890154299337156,-2.840001092879509,4.124831518645033,pi_nb_to_pi_*_L,8.363532635599327
0,300,5,-453.62483,-455.1280398329,5,-455.13515948,4.0,22222ud0,0.687485,0.829147,22222ud0,0.77145,0.59513,4.1018,1,6.560396532124802,6.42070343873058,2.9174956284819653,-0.6680092920174048,-1.0032727166443007,3.1566712415111224,pi_nb_to_pi_*_R,8.700681881600389
0,315,1,-453.941554,-455.3699148199,1,-455.37206405,1.0,22222200,0.932624,0.965724,22222200,0.96161,0.92469,5.1608,1,0.0,0.0,,,,,GROUND,0.0
0,315,2,-453.737119,-455.1654154137,2,-455.16596514,2.0,2222u2d0,0.868277,-0.931814,2222u2d0,-0.95312,0.90844,4.1057,1,5.564715141870682,5.6082398795734605,-0.2797832769102517,0.0631277931966979,0.0095500477562929,0.2869756160790533,n_to_pi_*_R,5.562962558999714
